title,platform,psd_URL,icon_URL,price,status
A Way Out,PS4,https://psdeals.net/ua-store/game/1480053/a-way-out,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0006-CUSA08004_00-AWAYOUTEU0000000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,049.00₴",1
ASTRO BOT,PS5,https://psdeals.net/ua-store/game/2787643/astro-bot,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP9000-PPSA21567_00-0000000000000000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,999.00₴",1
Alan Wake Remastered,PS5 / PS4,https://psdeals.net/ua-store/game/2263208/alan-wake-remastered,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP1464-PPSA01925_00-AWREMASTERED0001/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,799.00₴,1
Amerzone - The Explorer's Legacy,PS5,https://psdeals.net/ua-store/game/2938091/amerzone-the-explorers-legacy,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP4295-PPSA16078_00-AMERZONEPS5000EU/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,199.00₴",1
Aragami: Shadow Edition,PS4,https://psdeals.net/ua-store/game/1530063/aragami-shadow-edition,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP1563-CUSA04811_00-SHADOWEDITION001/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,819.00₴,1
Atomfall PS4™ & PS5™,PS5 / PS4,https://psdeals.net/ua-store/game/2877835/atomfall-ps4-ps5,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/UP4363-PPSA15493_00-ATOMFALLBASEGAME/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,799.00₴",1
Bridge Constructor,PS4 / PS Vita,https://psdeals.net/ua-store/game/948589/bridge-constructor,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0822-CUSA03760_00-BRIDGECPS4SCEECB/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,329.00₴,1
Burnout™ Paradise Remastered,PS4,https://psdeals.net/ua-store/game/1474936/burnout-paradise-remastered,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0006-CUSA10851_00-STELLARPARADISE0/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,649.00₴,1
Caravan SandWitch,PS5,https://psdeals.net/ua-store/game/2835297/caravan-sandwitch,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EB0235-PPSA21890_00-CARAVANSWPS5SIEE/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,819.00₴,1
Clair Obscur: Expedition 33,PS5,https://psdeals.net/ua-store/game/2912116/clair-obscur-expedition-33,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP7579-PPSA17599_00-EXP33000000PS5EU/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,499.00₴",1
Ctrl Alt Ego,PS5,https://psdeals.net/ua-store/game/2843851/ctrl-alt-ego,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP4886-PPSA19533_00-0181073161031268/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,819.00₴,1
DEATH STRANDING 2: ON THE BEACH,PS5,https://psdeals.net/ua-store/game/2942309/death-stranding-2-on-the-beach,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/JP9000-PPSA02015_00-DS2OTB0000000001/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"2,199.00₴",1
DEATH STRANDING DIRECTOR’S CUT,PS5,https://psdeals.net/ua-store/game/2226925/death-stranding-directors-cut,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP9000-PPSA01968_00-DEATHSTRANDINGEU/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,399.00₴",1
Devil May Cry 5 Deluxe + Vergil,PS4,https://psdeals.net/ua-store/game/2256700/devil-may-cry-5-deluxe-vergil,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0102-CUSA08161_00-DMC5PVERBUNDLE02/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,199.00₴",1
Dragon's Dogma 2,PS5,https://psdeals.net/ua-store/game/2693244/dragons-dogma-2,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0102-PPSA09664_00-DD2GAME000000000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"2,099.00₴",1
Fallout 4,PS5 / PS4,https://psdeals.net/ua-store/game/2765023/fallout-4,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP1003-PPSA09017_00-FALLOUT4FULLGAME/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,649.00₴,1
Fallout 76,PS4,https://psdeals.net/ua-store/game/1648206/fallout-76,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP1003-CUSA12054_00-PRJMTN0000000000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,199.00₴",1
Flintlock: The Siege of Dawn,PS5,https://psdeals.net/ua-store/game/2789299/flintlock-the-siege-of-dawn,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP7579-PPSA07385_00-FLINTLOCK00PS5EU/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,199.00₴",1
Forza Horizon 5 Standard Edition,PS5,https://psdeals.net/ua-store/game/2931196/forza-horizon-5-standard-edition,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/UP6312-PPSA22327_00-0629872585919347/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,199.00₴",1
Genesis Alpha One,PS4,https://psdeals.net/ua-store/game/1708801/genesis-alpha-one,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP4064-CUSA10869_00-GENESISALPHA1000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,949.00₴,1
God of War Рагнарёк,PS5 / PS4,https://psdeals.net/ua-store/game/2421397/god-of-war-%D1%80%D0%B0%D0%B3%D0%BD%D0%B0%D1%80%D1%91%D0%BA,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP9000-PPSA08332_00-GOWRAGNAROK00000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"2,299.00₴",1
God of War™,PS4,https://psdeals.net/ua-store/game/1901934/god-of-war,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP9000-CUSA07412_00-0000000GODOFWARN/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,649.00₴,1
Grand Theft Auto V (PS4™ та PS5™),PS5 / PS4,https://psdeals.net/ua-store/game/2398208/grand-theft-auto-v-ps4-%D1%82%D0%B0-ps5,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP1004-PPSA01721_00-GTAVCROSSGENBUND/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"2,599.00₴",1
Horizon Zero Dawn™ Complete Edition,PS4,https://psdeals.net/ua-store/game/1406932/horizon-zero-dawn-complete-edition,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP9000-CUSA10213_00-HRZCE00000000000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,199.00₴",1
Horizon Запретный Запад,PS5 / PS4,https://psdeals.net/ua-store/game/2258701/horizon-%D0%B7%D0%B0%D0%BF%D1%80%D0%B5%D1%82%D0%BD%D1%8B%D0%B9-%D0%B7%D0%B0%D0%BF%D0%B0%D0%B4,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP9000-PPSA01521_00-FORBIDDENWESTPS5/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,699.00₴",1
Hotline Miami,PS4 / PS3 / PS Vita,https://psdeals.net/ua-store/game/8217/hotline-miami,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP3643-CUSA00528_00-HOTLINEMIAMIBNDL/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,329.00₴,1
Hotline Miami 2: Wrong Number,PS4 / PS3 / PS Vita,https://psdeals.net/ua-store/game/7877/hotline-miami-2-wrong-number,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP3643-CUSA00371_00-HLM2SCEECROSSBUY/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,489.00₴,1
Immortals Fenyx Rising™ PS4 & PS5,PS5 / PS4,https://psdeals.net/ua-store/game/2126501/immortals-fenyx-rising-ps4-ps5,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0001-PPSA01509_00-GAME000000000000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,139.00₴",1
Immortals of Aveum™,PS5,https://psdeals.net/ua-store/game/2575076/immortals-of-aveum,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0006-PPSA08237_00-ARTEMISGAME00000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"2,399.00₴",1
