title,platform,psd_URL,icon_URL,price,status
Indiana Jones and the Great Circle,PS5,https://psdeals.net/ua-store/game/2946348/indiana-jones-and-the-great-circle,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/UP1003-PPSA26786_00-INDIANAJONESATGC/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"2,199.00₴",1
Indiana Jones and the Staff of Kings,PS5 / PS4,https://psdeals.net/ua-store/game/2909687/indiana-jones-and-the-staff-of-kings,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/UP1082-PPSA14388_00-0064394372965033/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,194.00₴,1
METAL GEAR SOLID Δ: SNAKE EATER,PS5,https://psdeals.net/ua-store/game/2921027/metal-gear-solid-%CE%B4-snake-eater,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/JP0101-PPSA15304_00-MGSDELTAMAINGAME/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"2,199.00₴",1
METAL GEAR SOLID: MASTER COLLECTION Vol.1 PS4 & PS5,PS5 / PS4,https://psdeals.net/ua-store/game/2612466/metal-gear-solid-master-collection-vol1-ps4-ps5,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0101-PPSA14364_00-MGSCOLLECTION001/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,799.00₴",1
METAL GEAR SOLID: MASTER COLLECTION Vol.2,PS5,https://psdeals.net/ua-store/game/3164366/metal-gear-solid-master-collection-vol2,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/UP0101-PPSA18194_00-MGSCOLLECTION002/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,499.00₴",1
Metal Gear Rising: Revengeance,PS4 / PS3,https://psdeals.net/ua-store/game/8739/metal-gear-rising-revengeance,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0101-NPEB01228_00-MGRGAMEMAIN00001/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,499.00₴,1
Metal Gear Solid V: Ground Zeroes,PS4,https://psdeals.net/ua-store/game/8397/metal-gear-solid-v-ground-zeroes,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0101-CUSA00211_00-MAINGAME00000000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,649.00₴,1
Metal Gear Solid V: The Definitive Experience,PS4,https://psdeals.net/ua-store/game/864226/metal-gear-solid-v-the-definitive-experience,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0101-CUSA05597_00-MAINGAME00000000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,649.00₴,1
Metal Gear Solid V: The Phantom Pain,PS4,https://psdeals.net/ua-store/game/7566/metal-gear-solid-v-the-phantom-pain,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0101-CUSA01154_00-MAINGAME00000000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,949.00₴,1
Metro 2033 Redux,PS4,https://psdeals.net/ua-store/game/7741/metro-2033-redux,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP4062-CUSA00591_00-M33REDUXDIGITAL1/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,649.00₴,1
Metro Exodus,PS5 / PS4,https://psdeals.net/ua-store/game/2217980/metro-exodus,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP4062-PPSA01749_00-METROEXODUS0GEN9/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,949.00₴,1
Metro: Last Light Redux,PS4,https://psdeals.net/ua-store/game/7742/metro-last-light-redux,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP4062-CUSA00592_00-MLLREDUXDIGITAL1/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,649.00₴,1
No Man's Sky PS4 & PS5,PS5 / PS4,https://psdeals.net/ua-store/game/2119178/no-mans-sky-ps4-ps5,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP2034-PPSA01412_00-NOMANSSKYHG00001/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,499.00₴",1
Nobody Wants to Die,PS5,https://psdeals.net/ua-store/game/2807289/nobody-wants-to-die,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP4062-PPSA19155_00-NOBODYWTD000SIEE/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,819.00₴,1
Pacific Drive,PS5,https://psdeals.net/ua-store/game/2712595/pacific-drive,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP6847-PPSA17476_00-00000000000PS5EU/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,949.00₴,1
Plants vs. Zombies™: Replanted,PS5 / PS4,https://psdeals.net/ua-store/game/3092270/plants-vs-zombies-replanted,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/UP0006-PPSA29802_00-PVZRELOADEDGAME0/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,699.00₴,1
Pnevmo-Capsula,PS5,https://psdeals.net/ua-store/game/2480359/pnevmocapsula,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP1661-PPSA05942_00-SYPS5PNEVMOCAPSU/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,159.00₴,1
Q.U.B.E. 2,PS4,https://psdeals.net/ua-store/game/1472032/qube-2,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP4833-CUSA04682_00-QUBE2PS4SUBMIT16/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,819.00₴,1
Ratchet & Clank: Сквозь миры,PS5,https://psdeals.net/ua-store/game/2160371/ratchet-clank-%D1%81%D0%BA%D0%B2%D0%BE%D0%B7%D1%8C-%D0%BC%D0%B8%D1%80%D1%8B,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP9000-PPSA01474_00-RATCHETCLANKRIFT/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"2,299.00₴",1
Ratchet & Clank™,PS4,https://psdeals.net/ua-store/game/75363/ratchet-clank,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP9000-CUSA01073_00-RCPS400000000000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,649.00₴,1
Red Dead Redemption (PS4 & PS5),PS5 / PS4,https://psdeals.net/ua-store/game/3122441/red-dead-redemption-ps4-ps5,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP1004-PPSA30523_00-REDEMPTION000001/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"2,199.00₴",1
Red Dead Redemption 2,PS4,https://psdeals.net/ua-store/game/2132840/red-dead-redemption-2,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP1004-CUSA08519_00-REDEMPTIONFULL02/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"2,599.00₴",1
Rise of the Tomb Raider: 20 Year Celebration,PS4,https://psdeals.net/ua-store/game/862090/rise-of-the-tomb-raider-20-year-celebration,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP0082-CUSA05716_00-RISEOFTOMBRAIDER/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,949.00₴,1
S.T.A.L.K.E.R. 2: Heart of Chornobyl,PS5,https://psdeals.net/ua-store/game/3044744/stalker-2-heart-of-chornobyl,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EB0236-PPSA28336_00-STALKER2UA000000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,799.00₴",1
S.T.A.L.K.E.R.: Call of Prypiat - Enhanсed Edition,PS5 / PS4,https://psdeals.net/ua-store/game/2984830/stalker-call-of-prypiat-enhan%D1%81ed-edition,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EB0236-PPSA21732_00-0450712096375802/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,649.00₴,1
S.T.A.L.K.E.R.: Clear Sky - Enhanсed Edition,PS5 / PS4,https://psdeals.net/ua-store/game/2985070/stalker-clear-sky-enhan%D1%81ed-edition,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EB0236-PPSA21733_00-0784463229646064/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,649.00₴,1
S.T.A.L.K.E.R.: Shadow of Chornobyl - Enhanсed Edition,PS5 / PS4,https://psdeals.net/ua-store/game/2985072/stalker-shadow-of-chornobyl-enhan%D1%81ed-edition,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EB0236-PPSA21734_00-0778461500088717/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,649.00₴,1
Stray,PS5 / PS4,https://psdeals.net/ua-store/game/2427937/stray,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP2333-PPSA02101_00-STRAYSIEE0000000/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,949.00₴,1
Streets Of Rage 4,PS4,https://psdeals.net/ua-store/game/2021396/streets-of-rage-4,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP1470-CUSA16221_00-00STREETSOFRAGE4/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,819.00₴,1
Stubbs the Zombie in Rebel Without a Pulse,PS4,https://psdeals.net/ua-store/game/2174920/stubbs-the-zombie-in-rebel-without-a-pulse,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP1875-CUSA24146_00-STUBBSTHEZOMBIE1/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,649.00₴,1
«Ведьмак 3: Дикая Охота — Полное издание»,PS5 / PS4,https://psdeals.net/ua-store/game/2518917/%D0%B2%D0%B5%D0%B4%D1%8C%D0%BC%D0%B0%D0%BA-3-%D0%B4%D0%B8%D0%BA%D0%B0%D1%8F-%D0%BE%D1%85%D0%BE%D1%82%D0%B0-%D0%BF%D0%BE%D0%BB%D0%BD%D0%BE%D0%B5-%D0%B8%D0%B7%D0%B4%D0%B0%D0%BD%D0%B8%D0%B5,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP4497-PPSA04021_00-0000000000GOTY11/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,349.00₴",1
Диспэтч,PS5,https://psdeals.net/ua-store/game/3091118/%D0%B4%D0%B8%D1%81%D0%BF%D1%8D%D1%82%D1%87,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/HP7386-PPSA27158_00-0022337374597692/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,109.00₴",1
Жизнь после (Days Gone™),PS4,https://psdeals.net/ua-store/game/1788555/%D0%B6%D0%B8%D0%B7%D0%BD%D1%8C-%D0%BF%D0%BE%D1%81%D0%BB%D0%B5-days-gone,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP9000-CUSA09176_00-DAYSGONECOMPLETE/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,199.00₴",1
Комплект Sherlock Holmes: Crimes and Punishments + Sherlock Holmes: The Devil's Daughter,PS4,https://psdeals.net/ua-store/game/2280818/%D0%BA%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%82-sherlock-holmes-crimes-and-punishments-sherlock-holmes-the-devils-daughter,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP5205-CUSA26518_00-SHERLOCKHOLMES78/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"2,199.00₴",1
Комплект «Свідомий сновидець»,PS5 / PS4,https://psdeals.net/ua-store/game/2390302/%D0%BA%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%82-%D1%81%D0%B2%D1%96%D0%B4%D0%BE%D0%BC%D0%B8%D0%B9-%D1%81%D0%BD%D0%BE%D0%B2%D0%B8%D0%B4%D0%B5%D1%86%D1%8C,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP5205-PPSA01772_00-BTHELUCIDDREAMER/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"2,599.00₴",1
Комплект головних ігор про Шерлока Холмса,PS4,https://psdeals.net/ua-store/game/2386914/%D0%BA%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%82-%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D0%B8%D1%85-%D1%96%D0%B3%D0%BE%D1%80-%D0%BF%D1%80%D0%BE-%D1%88%D0%B5%D1%80%D0%BB%D0%BE%D0%BA%D0%B0-%D1%85%D0%BE%D0%BB%D0%BC%D1%81%D0%B0,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP5205-CUSA26518_00-3ESSENTIALBUNDLE/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"3,299.00₴",1
Набор Metro Saga,PS4,https://psdeals.net/ua-store/game/2170349/%D0%BD%D0%B0%D0%B1%D0%BE%D1%80-metro-saga,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP4062-CUSA11407_00-METROSAGABUNDLE0/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"1,999.00₴",1
Набір єдності,PS4,https://psdeals.net/ua-store/game/2612457/%D0%BD%D0%B0%D0%B1%D1%96%D1%80-%D1%94%D0%B4%D0%BD%D0%BE%D1%81%D1%82%D1%96,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP5205-CUSA17784_00-0229385926387147/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,"3,599.00₴",1
Обновленная версия «Uncharted™ 2: Среди воров»,PS4,https://psdeals.net/ua-store/game/889353/%D0%BE%D0%B1%D0%BD%D0%BE%D0%B2%D0%BB%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F-%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%8F-uncharted-2-%D1%81%D1%80%D0%B5%D0%B4%D0%B8-%D0%B2%D0%BE%D1%80%D0%BE%D0%B2,https://store.playstation.com/store/api/chihiro/00_09_000/container/UA/ru/99/EP9000-CUSA03281_00-UNCHARTEDTHIEVES/0/image?_version=00_09_000&platform=chihiro&bg_color=000000&opacity=100&w=192&h=192,499.00₴,1
